               kpt            disp_1            disp_2
        1.22338987     -497.50569735      497.50523352
        1.22678817     -497.95648926      497.95602518
        1.23018648     -498.39384892      498.39338461
        1.23358478     -498.81802934      498.81756481
        1.23698309     -499.22928119      499.22881643
        1.24038139     -499.62785259      499.62738761
        1.24377970     -500.01398905      500.01352384
        1.24717800     -500.38793327      500.38746785
        1.25057631     -500.74992505      500.74945942
        1.25397462     -501.10020112      501.09973527
        1.25737292     -501.43899500      501.43852894
        1.26077123     -501.76653691      501.76607065
        1.26416953     -502.08305360      502.08258714
        1.26756784     -502.38876826      502.38830161
        1.27096614     -502.68390036      502.68343352
        1.27436445     -502.96866556      502.96819852
        1.27776275     -503.24327554      503.24280832
        1.28116106     -503.50793795      503.50747055
        1.28455936     -503.76285627      503.76238869
        1.28795767     -504.00822967      504.00776191
        1.29135597     -504.24425293      504.24378501
        1.29475428     -504.47111635      504.47064827
        1.29815258     -504.68900561      504.68853737
        1.30155089     -504.89810170      504.89763330
        1.30494919     -505.09858081      505.09811226
        1.30834750     -505.29061423      505.29014553
        1.31174580     -505.47436830      505.47389945
        1.31514411     -505.65000426      505.64953527
        1.31854241     -505.81767821      505.81720910
        1.32194072     -505.97754105      505.97707181
        1.32533902     -506.12973833      506.12926896
        1.32873733     -506.27441024      506.27394076
        1.33213563     -506.41169153      506.41122192
        1.33553394     -506.54171139      506.54124168
        1.33893224     -506.66459347      506.66412366
        1.34233055     -506.78045575      506.77998584
        1.34572886     -506.88941051      506.88894050
        1.34912716     -506.99156427      506.99109417
        1.35252547     -507.08701773      507.08654755
        1.35592377     -507.17586575      507.17539549
        1.35932208     -507.25819726      507.25772693
        1.36272038     -507.33409526      507.33362486
        1.36611869     -507.40363675      507.40316629
        1.36951699     -507.46689270      507.46642218
        1.37291530     -507.52392802      507.52345745
        1.37631360     -507.57480155      507.57433094
        1.37971191     -507.61956599      507.61909533
        1.38311021     -507.65826789      507.65779720
        1.38650852     -507.69094767      507.69047694
        1.38990682     -507.71763952      507.71716877
        1.39330513     -507.73837146      507.73790070
        1.39670343     -507.75316530      507.75269452
        1.40010174     -507.76203660      507.76156581
        1.40350004     -507.76499472      507.76452393
        1.40689835     -507.76205669      507.76158590
        1.41029665     -507.75325240      507.75278162
        1.41369496     -507.73858475      507.73811398
        1.41709326     -507.71805855      507.71758780
        1.42049157     -507.69168053      507.69120980
        1.42388987     -507.65945929      507.65898860
        1.42728818     -507.62140536      507.62093470
        1.43068648     -507.57753114      507.57706052
        1.43408479     -507.52785092      507.52738035
        1.43748310     -507.47238088      507.47191036
        1.44088140     -507.41113908      507.41066861
        1.44427971     -507.34414544      507.34367504
        1.44767801     -507.27142175      507.27095142
        1.45107632     -507.19299167      507.19252141
        1.45447462     -507.10888068      507.10841050
        1.45787293     -507.01911612      507.01864602
        1.46127123     -506.92372714      506.92325713
        1.46466954     -506.82274473      506.82227482
        1.46806784     -506.71620168      506.71573187
        1.47146615     -506.60413257      506.60366286
        1.47486445     -506.48657377      506.48610416
        1.47826276     -506.36356340      506.36309391
        1.48166106     -506.23514138      506.23467201
        1.48505937     -506.10134934      506.10088009
        1.48845767     -505.96223064      505.96176152
        1.49185598     -505.81783038      505.81736139
        1.49525428     -505.66819533      505.66772649
        1.49865259     -505.51337397      505.51290527
        1.50205089     -505.35341643      505.35294788
        1.50544920     -505.18837449      505.18790609
        1.50884750     -505.01830157      505.01783333
        1.51224581     -504.84325271      504.84278463
        1.51564411     -504.66328453      504.66281661
        1.51904242     -504.47845524      504.47798749
        1.52244073     -504.28882460      504.28835703
        1.52583903     -504.09445393      504.09398655
        1.52923734     -503.89540606      503.89493886
        1.53263564     -503.69174530      503.69127829
        1.53603395     -503.48353747      503.48307065
        1.53943225     -503.27084983      503.27038320
        1.54283056     -503.05375108      503.05328465
        1.54622886     -502.83231133      502.83184511
        1.54962717     -502.60660210      502.60613609
        1.55302547     -502.37669627      502.37623047
        1.55642378     -502.14266806      502.14220249
        1.55982208     -501.90459304      501.90412769
        1.56322039     -501.66254806      501.66208293
        1.56661869     -501.41661126      501.41614636
        1.57001700     -501.16686204      501.16639736
        1.57341530     -500.91338101      500.91291657
        1.57681361     -500.65625001      500.65578581
        1.58021191     -500.39555207      500.39508811
        1.58361022     -500.13137135      500.13090763
        1.58700852     -499.86379316      499.86332970
        1.59040683     -499.59290393      499.59244071
        1.59380513     -499.31879115      499.31832819
        1.59720344     -499.04154339      499.04108068
        1.60060174     -498.76125023      498.76078779
        1.60400005     -498.47800228      498.47754010
        1.60739835     -498.19189112      498.19142921
        1.61079666     -497.90300928      497.90254763
        1.61419497     -497.61145022      497.61098884
        1.61759327     -497.31730830      497.31684720
        1.62099158     -497.02067876      497.02021793
        1.62438988     -496.72165768      496.72119713
        1.62778819     -496.42034196      496.41988169
        1.63118649     -496.11682930      496.11636931
        1.63458480     -495.81121815      495.81075845
        1.63798310     -495.50360771      495.50314829
        1.64138141     -495.19409788      495.19363875
        1.64477971     -494.88278924      494.88233039
        1.64817802     -494.56978303      494.56932447
        1.65157632     -494.25518109      494.25472282
        1.65497463     -493.93908588      493.93862791
        1.65837293     -493.62160041      493.62114274
        1.66177124     -493.30282824      493.30237086
        1.66516954     -492.98287340      492.98241632
        1.66856785     -492.66184044      492.66138365
        1.67196615     -492.33983433      492.33937784
        1.67536446     -492.01696045      492.01650426
        1.67876276     -491.69332458      491.69286869
        1.68216107     -491.36903285      491.36857726
        1.68555937     -491.04419171      491.04373642
        1.68895768     -490.71890790      490.71845292
        1.69235598     -490.39328843      490.39283375
        1.69575429     -490.06744053      490.06698615
        1.69915259     -489.74147163      489.74101755
        1.70255090     -489.41548933      489.41503555
        1.70594921     -489.08960134      489.08914787
        1.70934751     -488.76391550      488.76346233
        1.71274582     -488.43853970      488.43808683
        1.71614412     -488.11358187      488.11312930
        1.71954243     -487.78914994      487.78869767
        1.72294073     -487.46535179      487.46489982
        1.72633904     -487.14229527      487.14184360
