[-0.21189738249924328 -0.0 0.03221944867491594 -0.0; -0.0 0.16508786094843803 -0.0 0.032199050133902396; 0.03221974046353154 -0.0 0.16505932110184987 -0.0; -0.0 0.032199341843514195 -0.0 -0.21180302208574942]	[-0.04879293418061148 -0.0 0.00799811592407492 0.0; -0.0 -0.04776391550489634 -0.0 0.008000861179099872; 0.007986164514708911 -0.0 -0.04775747074164194 -0.0; -0.0 0.007988909365405894 -0.0 -0.04880053211272217]
[-0.21019468125361224 -0.0 0.031878721938223276 -0.0; -0.0 0.16404392520038646 -0.0 0.031857077859820615; 0.03187903997162905 -0.0 0.16401354831662118 -0.0; -0.0 0.031857395841330294 -0.0 -0.21009450360804444]	[-0.05295904569891763 -0.0 0.00866551656021989 0.0; -0.0 -0.05185360626703506 -0.0 0.008666672509630574; 0.008653546251778575 -0.0 -0.05184901526784391 -0.0; -0.0 0.008654701772879553 -0.0 -0.05295852952916724]
[-0.20837579048649824 -0.0 0.03151658212248798 -0.0; -0.0 0.16292128454549593 -0.0 0.031493960692885126; 0.03151692598395611 -0.0 0.16288942450904112 -0.0; -0.0 0.03149430453381391 -0.0 -0.20827110362229112]	[-0.05700667918325664 -0.0 0.009310278158189064 0.0; -0.0 -0.0558300802696341 -0.0 0.009309611835986914; 0.00929828770405657 -0.0 -0.05582766209468448 -0.0; -0.0 0.009297620934200638 -0.0 -0.05699691234378912]
[-0.2064491105330703 -0.0 0.031135034958300445 -0.0; -0.0 0.16172382245513364 -0.0 0.031111737733176992; 0.031135404198305017 -0.0 0.16169088042846402 -0.0; -0.0 0.031112106987166877 -0.0 -0.20634139526497058]	[-0.06093042659124448 -0.0 0.00993154142557975 0.0; -0.0 -0.059688120707553693 -0.0 0.009928877990496354; 0.00991952968012632 -0.0 -0.05968812066264828 -0.0; -0.0 0.009916865783199143 -0.0 -0.060910549678700354]
[-0.20442315968285335 -0.0 0.030736088064779676 -0.0; -0.0 0.16045559870373569 -0.0 0.03071243680313618; 0.030736482202491755 -0.0 0.16042200554188035 -0.0; -0.0 0.030712830991403928 -0.0 -0.2043140072541006]	[-0.06472579304839876 -0.0 0.010528642018786012 0.0; -0.0 -0.06342336502388513 -0.0 0.010523867794676456; 0.010516607938225574 -0.0 -0.06342595083593128 -0.0; -0.0 0.01051183324351547 -0.0 -0.06469524219116873]
[-0.20230648718074207 -0.0 0.030321728529290937 -0.0; -0.0 0.15912081502929443 -0.0 0.030298052409488185; 0.030322147054301196 -0.0 0.1590870141554883 -0.0; -0.0 0.030298471022571938 -0.0 -0.20219753752160274]	[-0.06838917351406915 -0.0 0.011101101721091591 0.0; -0.0 -0.06703228176231202 -0.0 0.011094164339043366; 0.01108904436326506 -0.0 -0.06703754345321322 -0.0; -0.0 0.01108210650734257 -0.0 -0.06834768496242505]
[-0.2001075936353271 -0.0 0.029893903103216934 -0.0; -0.0 0.1577237801329452 -0.0 0.029870526906685735; 0.029894345477489315 -0.0 0.15769021166036223 -0.0; -0.0 0.02987096940645778 -0.0 -0.2000004771146714]	[-0.07191781886620319 -0.0 0.01164861742097886 0.0; -0.0 -0.07051213816326418 -0.0 0.011639523408158853; 0.011636535944163938 -0.0 -0.07052009115995383 -0.0; -0.0 0.01162744145952725 -0.0 -0.07186542110252259]
[-0.19783485967638903 -0.0 0.02945450116988929 -0.0; -0.0 0.15626887474255072 -0.0 0.0294317348775483; 0.029454966829905505 -0.0 0.1562359614389659 -0.0; -0.0 0.029432200699469224 -0.0 -0.1977311446362432]	[-0.07530979323931741 -0.0 0.01217104842374982 0.0; -0.0 -0.07386096024502076 -0.0 0.012159858679999275; 0.012158942084618086 -0.0 -0.07387155114564581 -0.0; -0.0 0.01214775187611841 -0.0 -0.0752467884140553]
[-0.19549648336536368 -0.0 0.029005340530366464 -0.0; -0.0 0.15476051743507171 -0.0 0.02898347063071416; 0.029005828889442642 -0.0 0.1547286529322478 -0.0; -0.0 0.028983959186263952 -0.0 -0.19539763110170189]	[-0.07856392445907323 -0.0 0.012668402605969097 0.0; -0.0 -0.07707748706175432 -0.0 0.012655226259887062; 0.01265627075680554 -0.0 -0.07709060141917312 -0.0; -0.0 0.01264309395759854 -0.0 -0.07849086127469429]
[-0.19310042655579146 -0.0 0.028548155958456112 -0.0; -0.0 0.15320313184996248 -0.0 0.02852743862651308; 0.02854866640918091 -0.0 0.15317267131336054 -0.0; -0.0 0.02852794930578234 -0.0 -0.19300775478231152]	[-0.08167974935941824 -0.0 0.013140821881716922 0.0; -0.0 -0.08016112073044657 -0.0 0.013125809028365548; 0.013128663967027972 -0.0 -0.08017659220687767 -0.0; -0.0 0.013113650676178425 -0.0 -0.08159738966015218]
